No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,Y
13988,881,57,824,0,0.005,0,0.005,0,4,0,4,0,0.605,6,74,70,523,0.134,29.479,6,4.286,0,1.791,34.257,1.954,2.172,-27.455,-4.64,1.333,0,3.764,0.008,52.3,56.705,1
13989,644,618,26,0,0,0,0,0,0,0,0,0,0.789,1,0,0,477,0,0,1,0,0,0,21.367,1.651,2.241,0,0,0,0,0,0,31.8,47.261,1
13990,749,382,367,0,0,0,0,0,0,0,0,0,0.963,1,0,0,296,0,0,2,0,0,0,23.04,1.177,1.49,0,0,0,0,0,0,29.6,29.622,1
13991,219,219,0,0,0,0,0,0,0,0,0,0,1,5,66,66,188,0.351,0,3,0,0,0,22.756,2.137,3.366,0,0,0,0,0,0,41,32.688,1
13992,1110,374,244,492,0.025,0,0.115,0,28,0,28,0,0.994,5,208,180,339,0.531,21.049,6,6.566,0.486,0.338,54.767,1.271,2.138,25.484,-15.477,-0.108,0.019,0.397,-0.526,56.5,95.678,1
13993,1248,346,902,0,0.099,0.182,0.067,0,123,63,60,0,0.655,5,346,223,794,0.281,2.85,7,8.638,2.553,2.86,42.02,2.397,3.114,-8.148,-8.622,2.267,1.393,5.427,-1.832,88.222,60.369,1
13994,322,322,0,0,0,0,0,0,0,0,0,0,0.972,6,0,0,116,0,0,2,0,0,0,12.436,1.098,1.267,0,0,0,0,0,0,29,41.334,1
13995,353,353,0,0,0,0,0,0,0,0,0,0,0.975,1,0,0,385,0,0,1,0,0,0,11.657,1.755,1.663,0,0,0,0,0,0,39.556,42.994,1
13996,965,965,0,0,0.136,0.136,0,0,131,131,0,0,0.675,1,232,101,840,0.12,0.886,6,10.516,1.289,1.714,14.72,1.717,2.023,0.437,-1.469,0.285,-0.043,-1.439,1.34,24,13.219,0
13997,468,406,62,0,0,0,0,0,0,0,0,0,0.705,1,0,0,235,0,0,2,0,0,0,10.669,1.757,1.706,0,0,0,0,0,0,26.111,21.718,1
13998,500,125,375,0,0.216,0.392,0.157,0,108,49,59,0,0.854,5,131,23,73,0.315,1.459,4,30.917,2.386,3.785,32.497,2.267,3.408,-16.254,9.782,-0.71,-1.172,-3.111,0.575,10.429,6.821,1
