Longitude - Start (deg),Latitude - Start (deg),Longitude - End (deg),Latitude - End (deg)
64.04441,37.88232,64.04759,37.87097
64.04608,37.87001,63.98913,37.78855
64.02544,37.80486,63.98903,37.78838
63.98806,37.78811,64.02269,37.80652
64.05738,37.89174,64.04818,37.8702
64.04503,37.84181,64.0331,37.83661
64.04556,37.83726,64.04823,37.87027
64.05966,37.8457,64.04809,37.8702
63.97295,37.7803,64.02461,37.80248
64.02781,37.89583,64.04696,37.83809
64.1305,37.77506,64.0548,37.81105
64.04613,37.86944,64.02433,37.80546
64.01581,37.7317,64.01839,37.74375
64.02586,37.80334,64.04811,37.87033
63.98884,37.78879,64.02601,37.80438
63.98932,37.78896,64.048,37.8704
37.65447,47.83811,37.65115,47.8613
64.0461,37.86932,64.02749,37.8105
64.04727,37.87093,64.02601,37.80445
64.04746,37.84521,64.02815,37.80016
64.02585,37.80384,64.03422,37.82415
64.04795,37.87111,64.02601,37.80445
36.32021,50.53762,36.31419,50.5385
64.04638,37.87087,64.02532,37.80484
64.04868,37.87113,63.98931,37.78836
64.02573,37.80392,64.1314,37.77518
64.02509,37.80512,64.04794,37.87052
64.02607,37.80223,64.0237,37.79417
64.04618,37.8705,64.024,37.80567
64.02581,37.80346,64.04688,37.83822
64.05864,37.84504,64.04783,37.86985
64.04786,37.8711,64.04306,37.84561
36.3084,50.54427,36.32946,50.54599
64.04728,37.86984,63.98924,37.78847
64.04799,37.87147,64.02558,37.81488
64.01725,37.80066,63.98939,37.78807
64.0255,37.8049,63.98911,37.78858
64.04575,37.86824,64.02577,37.80446
64.02256,37.80215,63.98911,37.78828
63.98545,37.78546,63.99731,37.77535
63.98754,37.78793,64.02585,37.80456
63.99823,37.7741,64.04781,37.87019
64.04627,37.86914,63.99705,37.7754
64.04615,37.86938,64.02525,37.80512
36.29764,50.52741,36.25519,50.49756
64.01571,37.83667,64.02734,37.89622
36.3265,50.54456,36.30628,50.54337
64.04506,37.84392,64.04778,37.84514
64.05204,37.84896,64.04696,37.83809
64.01673,37.74443,63.98923,37.78853
64.0255,37.80466,64.02047,37.82733
64.04597,37.86864,63.98939,37.78857
64.04318,37.86472,63.98857,37.78853
64.04611,37.87086,64.04994,37.86817
64.04736,37.87069,64.02569,37.80506
64.04772,37.87111,64.02534,37.80468
64.02542,37.80517,63.98759,37.85421
64.02565,37.80359,63.98907,37.78841
63.98755,37.78798,64.02528,37.80478
64.04756,37.87103,64.02585,37.80448
64.01823,37.74372,63.99715,37.77535
36.23615,50.49986,36.31652,50.5241
63.9857,37.7856,64.02531,37.80448
64.02535,37.80419,64.04794,37.87075
36.30906,50.53417,36.22914,50.49562
63.98938,37.78852,64.02626,37.80131
64.04728,37.87017,64.06279,37.88505
64.02585,37.80331,64.04663,37.84237
64.04104,37.86131,64.024,37.80567
64.04748,37.84336,64.04839,37.87022
64.04615,37.87078,64.02367,37.80589
37.65401,47.86059,37.6591,47.83456
36.24074,50.49961,36.22955,50.49812
64.02246,37.79969,64.02573,37.80439
37.86803,47.84712,38.01145,47.68289
64.06866,37.80361,64.02523,37.80479
63.98904,37.78889,64.02524,37.80516
64.04759,37.87107,64.04638,37.8426
64.0264,37.80899,64.05016,37.84916
64.03171,37.87485,64.04792,37.87094
64.02546,37.80468,64.03576,37.82729
64.04941,37.84674,64.04409,37.84481
64.04794,37.87107,63.98924,37.78862
64.026,37.80376,64.04871,37.87011
67.66114,37.59954,67.67957,37.40544
63.98591,37.78962,64.03389,37.82406
63.98698,37.78617,64.04808,37.87007
64.0473,37.87095,64.02589,37.80461
64.04722,37.86978,64.02585,37.80456
64.04862,37.87087,64.02569,37.80506
64.04705,37.8695,64.02528,37.80509
64.02632,37.80208,64.0599,37.84528
63.98687,37.78698,64.04809,37.87031
64.05968,37.84545,64.04812,37.87035
64.04588,37.86849,64.07288,37.79737
64.04668,37.83901,64.04762,37.87034
64.04617,37.87076,64.0254,37.80446
64.04603,37.87104,64.04347,37.84486
21.17555,62.39461,21.09092,62.57021
63.98821,37.78815,63.85888,37.84867
63.99755,37.77507,63.98896,37.7884
64.04246,37.85107,64.05719,37.84463
64.13222,37.77751,64.0447,37.86862
64.04619,37.86943,64.02589,37.80446
64.04684,37.87108,64.05763,37.83865
64.02269,37.81963,64.03449,37.82763
64.02559,37.80411,64.01478,37.80055
63.86455,37.84651,63.85893,37.84875
64.02592,37.80395,63.98924,37.78852
63.98651,37.78852,63.99544,37.79028
64.04826,37.87143,64.02433,37.80546
64.02569,37.80482,64.04816,37.87005
64.04741,37.87055,63.98903,37.78838
64.04824,37.87097,64.05251,37.90101
64.04311,37.86474,64.02528,37.80493
64.04616,37.86894,64.02552,37.80454
64.02984,37.80156,64.01561,37.80086
64.04664,37.86985,64.0261,37.80448
64.03891,37.8387,64.04786,37.87034
64.04727,37.8706,64.05986,37.84479
64.04618,37.86937,64.02524,37.80513
64.02577,37.80361,64.04171,37.86846
36.33257,50.54757,36.3762,50.54325
63.98725,37.78707,63.97257,37.78097
64.0473,37.87081,64.02535,37.80433
64.04339,37.86469,64.0471,37.84002
64.04618,37.87048,64.05307,37.84802
64.03291,37.82384,64.04812,37.87013
64.02577,37.8036,64.04836,37.8701
64.04576,37.83775,64.04133,37.83909
64.04386,37.86581,64.05434,37.83712
64.04781,37.87102,63.98926,37.78814
64.06773,37.79356,63.98859,37.78852
64.02576,37.80384,64.04753,37.87039
37.66499,47.83841,37.65129,47.86043
64.04416,37.86663,63.98932,37.78833
64.04734,37.87067,64.04984,37.87034
64.03172,37.87474,64.04823,37.86993
64.04706,37.8706,64.02528,37.80487
64.04691,37.87109,64.02601,37.80445
64.02602,37.80292,64.04569,37.86736
67.79598,37.71113,67.80097,37.73403
36.28488,50.51009,36.23807,50.49983
63.99825,37.77416,63.98915,37.78867
64.04735,37.87069,64.02585,37.80448
64.05892,37.84548,64.05017,37.84876
64.04533,37.83841,64.04778,37.87031
64.04362,37.86512,64.02577,37.80446
64.05352,37.83894,64.04812,37.87008
36.31167,50.53483,36.29453,50.49874
64.01851,37.82798,64.00422,37.8149
63.98817,37.78819,63.97222,37.78067
64.03762,37.83417,64.04238,37.86496
64.02564,37.80391,64.04803,37.87015
64.02591,37.80328,64.0601,37.84471
64.04399,37.84403,64.04816,37.87005
64.04544,37.89559,63.98759,37.85452
64.07008,37.89535,64.04833,37.8701
64.04852,37.87082,64.06088,37.84334
63.98771,37.78797,64.04692,37.83843
64.02732,37.89581,64.04684,37.87087
64.04764,37.87107,63.99702,37.77532
63.98774,37.78796,64.04811,37.87014
64.06813,37.80277,64.02532,37.80483
64.04368,37.86536,64.02514,37.80463
63.98576,37.78561,64.03758,37.84592
64.05948,37.84581,64.04696,37.87029
64.0222,37.79449,64.04831,37.86995
64.04773,37.87102,64.04427,37.84486
63.98825,37.78818,64.02335,37.80516
64.04112,37.86243,63.98866,37.78868
64.02614,37.80323,64.03323,37.8748
63.98938,37.78866,63.99751,37.7753
64.04781,37.87152,64.01567,37.80026
64.01567,37.80606,64.02572,37.80452
64.04778,37.871,64.02552,37.80454
64.03992,37.85685,64.0256,37.80464
64.05444,37.81068,64.02651,37.80336
64.01852,37.79406,64.02707,37.89604
64.06062,37.89388,64.0477,37.86982
63.97197,37.782,64.06868,37.80424
64.04726,37.87066,64.04778,37.89689
63.96223,37.77747,63.98927,37.78856
63.98878,37.78881,64.0475,37.87086
64.0256,37.80439,64.03202,37.8743
64.04776,37.87102,64.02524,37.80479
64.04732,37.87102,63.98924,37.78862
64.03696,37.84776,64.04816,37.87029
36.31724,50.55541,36.24878,50.49765
36.31171,50.55887,36.32127,50.54067
64.06802,37.79342,63.99379,37.7892
64.04767,37.87098,64.05969,37.88867
64.05171,37.798,64.05111,37.87082
64.02623,37.80207,64.01349,37.73523
64.00599,37.79391,63.997,37.77524
64.07334,37.78693,64.04778,37.87039
64.02576,37.8033,64.04778,37.87039
64.02568,37.80404,64.04696,37.83801
63.98937,37.78857,64.02601,37.80445
64.04617,37.86918,64.04373,37.84474
64.04615,37.86954,64.02536,37.80433
63.98708,37.75286,64.04778,37.87039
64.02527,37.80512,64.04811,37.87026
64.02551,37.8039,63.9892,37.78845
64.05239,37.85101,64.04825,37.87021
64.04305,37.88057,64.04815,37.8699
63.98931,37.78859,64.04797,37.86995
64.05786,37.8491,64.04588,37.87102
63.85859,37.84943,64.02564,37.80444
36.30946,50.53453,36.24954,50.49621
64.04794,37.87107,64.024,37.80567
63.98823,37.78817,64.02585,37.80448
64.04726,37.87055,64.0261,37.8044
64.04722,37.87091,63.98912,37.78838
64.04799,37.87104,63.98932,37.78841
63.98745,37.78788,64.03637,37.82631
64.04737,37.87024,63.98907,37.78834
64.04726,37.87057,64.05936,37.8444
64.02569,37.80392,64.03787,37.83438
64.0522,37.84592,64.05994,37.84519
64.04857,37.87086,64.04655,37.87837
64.02946,37.79132,64.02585,37.8044
63.98816,37.78816,64.02236,37.80673
64.04797,37.87114,63.98918,37.78839
64.04737,37.87071,63.98947,37.78828
64.02542,37.80492,64.04798,37.87062
64.02565,37.80482,63.96406,37.78072
64.02702,37.81061,64.04794,37.87075
63.98629,37.75619,63.97846,37.76038
64.04738,37.87008,63.98915,37.78836
64.04398,37.84413,64.02523,37.80488
64.02727,37.81264,64.04824,37.86999
64.04758,37.87109,64.13302,37.77852
64.05404,37.8442,64.04794,37.87044
64.04396,37.84473,64.04786,37.87026
64.02587,37.80696,64.04822,37.87023
64.04775,37.87111,63.98916,37.78881
64.04665,37.87116,64.04811,37.8973
63.98457,37.78496,64.04905,37.87019
64.02546,37.80476,63.99716,37.77534
63.98937,37.78894,64.02585,37.80448
64.03455,37.82417,64.04696,37.83856
63.98829,37.78825,64.02525,37.80513
63.98054,37.76177,64.04753,37.87023
64.02575,37.80536,64.0477,37.87036
64.04608,37.86965,64.0251,37.80513
64.04686,37.83972,64.04769,37.87074
64.04678,37.87114,64.02535,37.80438
64.04771,37.8711,64.02569,37.80506
64.01123,37.79717,63.98859,37.78855
63.98837,37.77621,63.99693,37.77519
67.66103,37.60288,67.88162,37.76717
64.04724,37.86969,64.06127,37.81474
64.04716,37.86971,64.04366,37.84514
64.02629,37.80233,64.01556,37.83559
63.98729,37.78704,64.13401,37.78046
64.04617,37.86957,64.02515,37.80551
64.04734,37.8698,63.98915,37.7886
64.02618,37.80256,64.04827,37.87016
67.799,37.72897,67.66033,37.60081
64.04775,37.87104,63.98922,37.78855
63.98899,37.78889,64.04671,37.87053
64.02637,37.80166,64.04319,37.78284
36.37753,50.5423,36.34746,50.55641
63.98898,37.85429,64.03213,37.87432
64.02589,37.80369,64.06915,37.804
64.04731,37.87062,63.98927,37.78866
64.048,37.8395,64.04733,37.87069
36.319,50.54161,36.32959,50.54585
64.00035,37.79138,63.98828,37.75633
64.01684,37.83054,64.01248,37.97276
64.04827,37.84051,64.0599,37.84528
64.04138,37.86848,63.98924,37.78849
36.46841,50.46029,36.30285,50.54897
64.04365,37.86492,64.02697,37.81112
64.04594,37.86855,63.98939,37.78833
64.02565,37.80358,63.98963,37.78862
64.0614,37.81266,64.04631,37.87891
64.02559,37.80409,64.0373,37.84639
64.01773,37.79688,64.02524,37.80502
64.02573,37.80386,64.04831,37.8701
63.98713,37.78717,64.04829,37.87006
64.06936,37.80384,64.06849,37.80296
63.98814,37.78817,63.96421,37.77914
64.04734,37.87022,64.04147,37.865
64.04772,37.86967,64.02585,37.80456
64.04444,37.83814,64.02812,37.80023
64.04611,37.87037,64.0689,37.89736
64.04737,37.87093,64.02577,37.80454
64.04677,37.87113,64.04597,37.87929
64.04622,37.8971,64.04807,37.8695
64.13299,37.77702,64.04829,37.87011
64.04626,37.87106,64.02585,37.80456
64.02515,37.80518,63.9892,37.78865
63.9883,37.78816,64.04778,37.87042
64.02826,37.89596,64.02525,37.80487
64.03527,37.83541,64.0417,37.86961
64.02574,37.8036,64.04696,37.83848
64.02569,37.80411,64.01566,37.80017
